Restrição de Atendimento;Escola;Código INEP;UF;Município;Localização;Localidade Diferenciada;Categoria Administrativa;Endereço;Telefone;Dependência Administrativa;Categoria Escola Privada;Conveniada Poder Público;Regulamentação pelo Conselho de Educação;Porte da Escola;Etapas e Modalidade de Ensino Oferecidas;Outras Ofertas Educacionais;Latitude;Longitude
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;UE VESPASIANO RAMOS;21127573;MA;Fortuna;Rural;A escola não está em área de localização diferenciada;Pública;"POVOADO BOM SOSSEGO, ZONA RURAL. 65695-000 Fortuna - MA.";(99) 99044034;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Ensino Fundamental;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;UE RITA MATOS;21127590;MA;Fortuna;Rural;A escola não está em área de localização diferenciada;Pública;"POVOADO COCALINHO, 65695-000 Fortuna - MA.";(99) 988044932;Municipal;Não Informado;Não;Sim;Até 50 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-5.73638417758048;-44.1580978408456
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;UE FRANCISCO APRIGIO;21127603;MA;Fortuna;Rural;A escola não está em área de localização diferenciada;Pública;"POVOADO PORTO DAS PEDRAS, ZONA RURAL. 65695-000 Fortuna - MA.";(99) 988353842;Municipal;Não Informado;Não;Sim;Até 50 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-5.73071773;-44.14938011
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;UE MANOEL DUARTE;21127611;MA;Fortuna;Rural;A escola não está em área de localização diferenciada;Pública;"POVOADO COQUINHO, 65695-000 Fortuna - MA.";;Municipal;Não Informado;Não;Sim;Até 50 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-5.6737033;-44.04784634
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;UE DEP EDSON LOBAO;21127620;MA;Fortuna;Urbana;A escola não está em área de localização diferenciada;Pública;"AV. NEWTON BELLO, S/N CENTRO. 65695-000 Fortuna - MA.";;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;Atividade Complementar;-5.73390652891248;-44.1570041701198
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;UI JOSE MACHADO;21127638;MA;Fortuna;Rural;A escola não está em área de localização diferenciada;Pública;"POVOADO SANTO ANTONIO DO APRIGIO, 65695-000 Fortuna - MA.";(99) 996476116;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";Atividade Complementar;-5.58700468;-44.1230533
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CENTRO DE ENSINO ESTADO DO RIO DE JANEIRO;21127646;MA;Fortuna;Urbana;A escola não está em área de localização diferenciada;Pública;"AVENIDA NEWTON BELLO, 0 CENTRO. 65695-000 Fortuna - MA.";(99) 988450489;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Médio;;-5.7335889;-44.1558483
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;UE DR GETULIO VARGAS;21127662;MA;Fortuna;Urbana;A escola não está em área de localização diferenciada;Pública;"PRACA DA LIBERDADE, S/N CENTRO. 65695-000 Fortuna - MA.";(99) 988229751;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;-5.7370309;-44.1605393
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;UI ARTUR CARVALHO;21127670;MA;Fortuna;Rural;A escola não está em área de localização diferenciada;Pública;"POVOADO AGUA BRANCA, POVOADO AGUA BRANCA. 65695-000 Fortuna - MA.";(99) 999335906;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-5.73385570251523;-44.1492958272289
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;UI FIRMINO MAJO;21127689;MA;Fortuna;Rural;A escola não está em área de localização diferenciada;Pública;"POVOADO VARJAO, 65695-000 Fortuna - MA.";;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-5.68328094;-44.06186869
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;UE PROF AGDA;21127697;MA;Fortuna;Rural;A escola não está em área de localização diferenciada;Pública;"POVOADO BARREIRAS, 65695-000 Fortuna - MA.";(99) 99543450;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;UE PROFA SOCORRO LOPES;21127727;MA;Fortuna;Rural;A escola não está em área de localização diferenciada;Pública;"POVOADO CONCEICAO, 65695-000 Fortuna - MA.";(99) 88238433;Municipal;Não Informado;Não;Sim;Até 50 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-5.72289965532402;-44.1482254745224
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;UE VIDAL PEREIRA;21127743;MA;Fortuna;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA 21 DE ABRIL, S/N PIAUI. 65695-000 Fortuna - MA.";;Municipal;Não Informado;Não;Não;Entre 51 e 200 matrículas de escolarização;Ensino Fundamental;;-5.72988933;-44.14714339
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;UI ELMIR PINTO;21127760;MA;Fortuna;Rural;A escola não está em área de localização diferenciada;Pública;"POVOADO SAO JOSE, ZONA RURAL. 65695-000 Fortuna - MA.";(99) 35749027;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";Atendimento Educacional Especializado;-5.69453368;-44.07093568
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;UE TANCREDO NEVES;21127778;MA;Fortuna;Rural;A escola não está em área de localização diferenciada;Pública;"POVOADO SAO JOAO DO ANAJA, 65695-000 Fortuna - MA.";;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";Atividade Complementar;-5.5900128;-43.9295413
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;UI MARIANO MARTINS;21127786;MA;Fortuna;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA SANTO ANTONIO, S/N PIAUI. 65695-000 Fortuna - MA.";(99) 988083493;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;"Atendimento Educacional Especializado, Atividade Complementar";-5.73859159369022;-44.1549315769225
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;JI PEQUENO PRINCIPE;21241929;MA;Fortuna;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA SANTA ISABEL, SN PIAUI. 65695-000 Fortuna - MA.";(99) 88368807;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil;;-5.73182618245482;-44.1511525958776
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CENTRO DE ENSINO ESTADO DO RIO DE JANEIRO - ANEXO I - SAO JOSE;21259836;MA;Fortuna;Rural;A escola não está em área de localização diferenciada;Pública;"POVOADO SAO JOSE, ZONA RURAL. 65695-000 Fortuna - MA.";(99) 988083493;Estadual;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Ensino Médio;;-5.69871837738901;-44.073715377599
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA COMUNITARIA DE FORTUNA;21285276;MA;Fortuna;Urbana;A escola não está em área de localização diferenciada;Privada;"AV. NEWTON BELLO, CENTRO. 65695-000 Fortuna - MA.";(99) 988496557;Privada;Comunitária;Não;Em Tramitação;Entre 201 e 500 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-5.73392062;-44.15681809
