Restrição de Atendimento;Escola;Código INEP;UF;Município;Localização;Localidade Diferenciada;Categoria Administrativa;Endereço;Telefone;Dependência Administrativa;Categoria Escola Privada;Conveniada Poder Público;Regulamentação pelo Conselho de Educação;Porte da Escola;Etapas e Modalidade de Ensino Oferecidas;Outras Ofertas Educacionais;Latitude;Longitude
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EM LUIS MARQUES;21170142;MA;Passagem Franca;Rural;A escola não está em área de localização diferenciada;Pública;"SANTO ANTONIO, POVOADO. 65680-000 Passagem Franca - MA.";;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-6.0948407;-43.7669839
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EM MARANHENSE EDUCACIONAL;21170177;MA;Passagem Franca;Rural;A escola não está em área de localização diferenciada;Pública;"JATOBA, POVOADO. 65680-000 Passagem Franca - MA.";;Municipal;Não Informado;Não;Sim;Até 50 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-6.2290838;-43.6128655
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EM RAIMUNDO DIOGO;21170525;MA;Passagem Franca;Rural;A escola não está em área de localização diferenciada;Pública;"UNHA DE GATO, POVOADO. 65680-000 Passagem Franca - MA.";;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-6.0755924;-43.9091795
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EM RAIMUNDO VERISSIMO;21170681;MA;Passagem Franca;Rural;A escola não está em área de localização diferenciada;Pública;"JUCARA, SN POVOADO. 65680-000 Passagem Franca - MA.";(99) 988072303;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";Atividade Complementar;-6.00682325;-43.8847931
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EM NSA SRA DAS GRACAS;21170703;MA;Passagem Franca;Rural;A escola não está em área de localização diferenciada;Pública;"BURITIZINHO DO JOACY, POVOADO. 65680-000 Passagem Franca - MA.";(99) 35581057;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";Atividade Complementar;-6.2683811;-43.9396769
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA MUNICIPAL ISABEL CRISTINA PORTO;21170894;MA;Passagem Franca;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA VICENTE SOUSA, SN MUTIRAO. 65680-000 Passagem Franca - MA.";(99) 984125005;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;;-6.1828841;-43.7764604
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;JARDIM DE INFANCIA CATARINA PEREIRA DA SILVA;21171009;MA;Passagem Franca;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA VICENTE SOUSA, MUTIRAO. 65680-000 Passagem Franca - MA.";;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;-6.18291991;-43.77624984
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;JI TIA CLORIS;21171017;MA;Passagem Franca;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA DO PRADO, SN CENTRO. 65680-000 Passagem Franca - MA.";;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;-6.17781112;-43.77912492
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;UE GETULIO VARGAS;21171041;MA;Passagem Franca;Urbana;A escola não está em área de localização diferenciada;Pública;"TRAVESSA DO PRADO, SN CENTRO. 65680-000 Passagem Franca - MA.";;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;;-6.1792284;-43.7768436
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC MUNICIPALIZADA PROF HELOISA MARIA DE SOUSA ALMEIDA;21171050;MA;Passagem Franca;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA VESPAZIANO RAMOS, SN CENTRO. 65680-000 Passagem Franca - MA.";;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;;-6.18164584;-43.78551411
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EM NSA SRA DO PERPETUO SOCORRO;21207127;MA;Passagem Franca;Rural;A escola não está em área de localização diferenciada;Pública;"BACABINHA, POVOADO. 65680-000 Passagem Franca - MA.";;Municipal;Não Informado;Não;Sim;Até 50 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-6.0469329;-43.6521996
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EM SUPLETIVO GETULIO VARGAS;21219443;MA;Passagem Franca;Urbana;A escola não está em área de localização diferenciada;Pública;"TRAVESSA DO PRADO, CENTRO. 65680-000 Passagem Franca - MA.";;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação de Jovens Adultos;;-6.1793753;-43.7769374
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;PRE-ESCOLAR COMUNITARIA SEBASTIAO PEREIRA DA COSTA;21219451;MA;Passagem Franca;Rural;A escola não está em área de localização diferenciada;Pública;"NAZARE, POVOADO. 65680-000 Passagem Franca - MA.";;Municipal;Não Informado;Não;Sim;Até 50 matrículas de escolarização;Educação Infantil;;-6.00308273;-43.83233497
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EM MANOEL DIAS;21243174;MA;Passagem Franca;Rural;A escola não está em área de localização diferenciada;Pública;"SACO DO BOI, POVOADO. 65680-000 Passagem Franca - MA.";;Municipal;Não Informado;Não;Em Tramitação;Até 50 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-6.261225;-43.66785
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EM CORACAO DE JESUS;21262403;MA;Passagem Franca;Rural;A escola não está em área de localização diferenciada;Pública;"COMPERTINO, POVOADO. 65680-000 Passagem Franca - MA.";;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-6.04380758;-43.91001009
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA MUNICIPAL PROFESSORA MARIA JOSE REIS;21262420;MA;Passagem Franca;Urbana;A escola não está em área de localização diferenciada;Pública;"PRACA BARAO DO RIO BRANCO, SN CENTRO. 65680-000 Passagem Franca - MA.";(99) 35581288;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;;-6.1814741;-43.7839912
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA MUNICIPAL SILVESTRE FERREIRA DIONIZIO;21274711;MA;Passagem Franca;Rural;A escola não está em área de localização diferenciada;Pública;"LAGOINHA, POVOADO. 65680-000 Passagem Franca - MA.";;Municipal;Não Informado;Não;Sim;Até 50 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CRECHE MARIO FERNANDES DE OLIVEIRA;21274720;MA;Passagem Franca;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA VIRIATO CORREIA, SN FAVEIRA. 65680-000 Passagem Franca - MA.";;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;-6.1891061;-43.7801835
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA MUNICIPALIZADA ESTADO DO PARANA;21279900;MA;Passagem Franca;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA SIQUEIRA CAMPOS, 908 CENTRO. 65680-000 Passagem Franca - MA.";;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;Atendimento Educacional Especializado;-6.1778514;-43.7797044
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EM PROF RAIMUNDO MASCULO SARAIVA DA SILVA;21279918;MA;Passagem Franca;Urbana;A escola não está em área de localização diferenciada;Pública;"AVENIDA DR WILSON MAGALHAES TORRES, SN AEROPORTO. 65680-000 Passagem Franca - MA.";;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-6.1810863;-43.79358
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;JARDIM DE INFANCIA FAROL DA ALEGRIA;21279926;MA;Passagem Franca;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA 03, SN ALVORADA. 65680-000 Passagem Franca - MA.";;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;-6.176342;-43.7748571
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CENTRO DE EDUCACAO PORTAL DO SABER;21545669;MA;Passagem Franca;Urbana;A escola não está em área de localização diferenciada;Privada;"RUA PRESIDENTE CASTELO BRANCO, 24 NELSON PORTO. 65680-000 Passagem Franca - MA.";;Privada;Particular;Não;Sim;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-6.17577986;-43.77658511
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EM MANOEL RAIMUNDO FERREIRA DIAS;21574669;MA;Passagem Franca;Rural;A escola não está em área de localização diferenciada;Pública;"SUSSUAPARA, POVOADO. 65680-000 Passagem Franca - MA.";;Municipal;Não Informado;Não;Em Tramitação;Até 50 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-6.0915455;-43.6371122
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CENTRO EDUCA MAIS ANTONIO REINALDO PORTO;21577676;MA;Passagem Franca;Urbana;A escola não está em área de localização diferenciada;Pública;"PRACA DO MUTIRAO, 05 CENTRO. 65680-000 Passagem Franca - MA.";(99) 984123770;Estadual;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Ensino Médio, Educação de Jovens Adultos";;-6.1819755;-43.7779297
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CENTRO DE EDUCACAO AGNUS DEI;21609667;MA;Passagem Franca;Urbana;A escola não está em área de localização diferenciada;Privada;"RUA SIQUEIRA CAMPOS Nº 698, 698 CENTRO. 65680-000 Passagem Franca - MA.";(99) 35581765;Privada;Particular;Não;Em Tramitação;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-6.1788537;-43.7803339
